id_i,id_j,similitud_ponderada
0,89,0.6219132896221392
0,90,0.18691328962213918
0,91,0.08150297178687313
0,92,0.12690505952070208
0,93,0.1781264930577356
0,94,0.6977459115576462
0,95,0.4937912495703749
0,96,0.17358368284373016
0,97,0.1580304522080575
0,98,0.15691328962213918
0,99,0.4219132896221392
0,100,0.08620261150348442
0,101,0.224521266270519
0,102,0.13628332839856214
0,103,0.2304919333848296
0,104,0.2004740017440967
0,105,0.7213284760873081
0,106,0.7926491106406736
0,107,0.4414213562373095
0,108,0.11549193338482965
0,109,0.015491933384829666
0,110,0.7023758073874128
0,111,0.15691328962213918
0,112,0.24660909597074795
0,113,0.6323544366254925
0,114,0.23187322975464209
0,115,0.15494067585702714
0,116,0.014907119849998596
0,117,0.47430990005730783
0,118,0.06695394664971986
0,119,0.015339299776947406
0,120,0.4197698324867478
0,121,0.18691328962213918
0,122,0.27561826400816414
0,123,0.3776794981586745
0,124,0.40407046687798304
0,125,0.2806551858852311
0,126,0.17358368284373016
0,127,0.7069132896221392
0,128,0.15660648828461543
0,129,0.025213203435596424
0,130,0.14707914980867318
0,131,0.29827000556782274
0,132,0.3790928256475246
0,133,0.15660648828461543
0,134,0.3555820650958895
0,135,0.17132847608730808
0,136,0.4278899611008354
0,137,0.31095445115010334
0,138,0.1847698324867478
0,139,0.43667675766523895
0,140,0.48049193338482965
0,141,0.6362026115034844
0,142,0.2443594468443109
0,143,0.026925695879998872
0,144,0.03856764006108891
0,145,0.017354436625492492
0,146,0.2654919333848297
0,147,0.017162326606420662
0,148,0.3931526730533662
0,149,0.44774591155764626
0,150,0.17022672603656216
0,151,0.421676757665239
0,152,0.21812128079512982
0,153,0.20062816947373818
0,154,0.473775792862802
0,155,0.07574074321412343
0,156,0.15709579673666718
0,157,0.2593594468443109
1,2,0.6479486484053559
1,3,0.15112278123876283
1,4,0.09865796772656073
1,5,0.5634714346358733
1,6,0.2512705878430587
1,7,0.162406249806724
1,8,0.45920730207330723
